Colomesus psittacus
Colpomenia peregrina
Colus spitzbergensis
Conger conger
Conopeum tenuissimum 
Contracaecum
Copepoda
Corallina officinalis
Corallina vancouveriensis
Corambe obscura
Cordylophora caspia
Corella parallelogramma
Corophiidae
Corophium
Corophium volutator
Corophyiidae
Corvus corone
Corynactis californica
Corynactis viridis
Coryne
Coryne eximia
Corynosoma
Coryphella
Coryphella salmonacea
Coryphella verrucosa
Coryphellina albomarginata
Coscinodiscophycidae
Coscinodiscus
Costaria costata
Cottidae
Cottunculus microps
Cottus sp.
Crangon
Crangon allmanni
Crangon crangon
Crangon septemspinosa
Crangonidae
Crassicorophium crassicorne
Crassostrea virginica
Cratena pilata
Crepidula convexa
Crepidula fornicata
Crepidula plana
Cricotopus
Crinoidea
Crossaster papposus
Crustacea
Cryptacanthodes maculatus
Cryptophyta
Cryptosula
Cryptosula pallasiana
Ctenolabrus rupestris
Ctenophora
Cucullanus cirratus
Cucumaria frondosa
Culex
Cumacea
Cumanotus beaumonti
Cumanotus cuenoti
Cumanotus fernaldi
Cuthona gymnota
Cuthona perca
Cyanea capillata
Cyclopoida
Cycloporus japonicus
Cycloporus papillosus
Cyclopterus lumpus
Cyclotella
Cygnus olor
Cylichna
Cylindrotheca closterium
Cymadusa compta
Cymatosiraceae
Cymothoida
Cynoglossidae
Cynoscion regalis
Cystoclonium purpureum
Decapoda
Decapterus punctatus
Deflexilodes intermedius
Delphinus delphis
Dendraster excentricus
Dendrogaster
Dendronotus frondosus
deposit feeder
deposit feeding
Dermasterias imbricata
Derogenes varicus
Desmarestia aculeata
Desmarestia viridis
Detritus
Dexamine spinosa
Diadumene cincta
Diadumene lineata
Diastylidae
Diastylis quadrispinosa
Diaulula sandiegensis
Dibothrium
Dichelopandalus leptocerus
Dichelyne (Cucullanellus) minutus
Diclidophora denticulata
Dictyocha fibula
Dictyopteris
Dictyota cilioata
Dictyota menstrualis
Didemnum albidum
Didemnum candidum
Didemnum listerianum
Didemnum vexillum
Dinophysis acuminata
Dinophysis caudata
Dinophysis sacculus
Dinosoma rubrum
Diodora cayenensis
Diplocotyle olrikii
Diplodus annularis
Diplodus capensis
Diplodus holbrooki
Diplodus sargus
Diploneis
Diplopsalopsis bomba
Diplosoma listerianum
Diptera
Dipturus laevis
Ditylum brightwellii
Divalinga quadrisulcata
Dolabella auricularia
Doridella obscura 
Doriopsilla albopunctata
Doris montereyensis
Doris odhneri
Doropygopsis arctica
Doropygus curvatus
Dorosoma cepedianum
Dorosoma petenense
Doto coronata
Doto fragilis
Drilonereis
Dsypanopeus sayi
Dulichia
Dunaliella salina
Duva florida
Dynamena
Dynamena pumila
Dyopedos
Dyopedos porrectus
Dyspanopeus sayi
Echeneibothrium
Echiichthys vipera
Echinarachnius parma
Echinaster (Othilia) spinulosus
Echinocyamus pusillus
Echinodermata
Echinogammarus finmarchicus
Echinogammarus marinus
Echinoidea
Echinorhynchus
Echinorhynchus gadi
Echinorhynchus salmonis
Echinus
Echiodon drummondii
Ectocarpales
Ectopleura crocea
Ectopleura dumortierii
Ectopleura larynx
Ectopleura sp.
Edmundsella pedata
Edotia montosa
Edotia triloba
Edwardsiella lineata 
Einhornia crustulenta
Elasmopus levis
Elasmopus rapax
Electra
Electra pilosa
Elminius
Elminius modestus
Elysia
Elysia viridis
Embiotoca lateralis
Emerita talpoida
Enchelyopus cimbrius
Encrusting coralline
Endocladia muricata
Engraulidae
Ensis
Ensis directus
Ensis leei
Enteroctopus dofleini
Enteroctopus megalocyathus
Enteromorpha
Enteromorpha intestinalis
Entomacrodus lighti
Entoprocta
Eogammarus confervicolus
Ephemeroptera
Epiactis japonica
Epiactis prolifera
Epimeria (Epimeria) parasitica
Epimeria cornigera
Epinephelus itajara
Erato voluta
Erichsonnella
Erichthonius fasciatus
Ericthonius
Ericthonius brasiliensis
Ericthonius difformis
Ericthonius fasciatus
Ericthonius rubricornis
Erignathus barbatus
Eriocheir sinensis
Errantia
Erythrotrichia carnea
Escharella immersa
Etheostoma nigrum
Etheostoma olmstedi
Etropus
Etropus microstomus
Etrumeus teres 
Eualus
Eualus pusiolus
Eubothrium crassum
Eubothrium rugosum
Eubranchus exiguus
Eucampia zoodiacus
Eucarida
Euchone incolor
Euchromadora
Eucinostomus argenteus
Eucratea loricata
Eudendrium 
Eudendrium arbuscula
Eudendrium capillare
Eudendrium ramosum
Eudistoma hepaticum
Eudorella emarginata
Eudorellopsis deformis
Eulimidae
Eumicrotremus spinosus
Eunice
Eunice pennata
Eunicella
Eunicella verrucosa
Euphausia superba
Euphausiacae
Euphausiacea
Euphausiidae
Eurytemora affinis
Eurytemora herdmani
Euspira nitida
Euspira pulchella
Eutrigla gurnardus
Evadne
Evadne nordmanni
Evasterias troschelii
Exaiptasia diaphana
Facelina annulicornis
Facelina auriculata
Facelina bostoniensis
Favorinus blianus
Favorinus branchialis
Felimare orsinii
Felimida luteorosea
Fjordia lineata
Flabellina albomarginata
Flabellina verrucosa
Flabellum (Ulocyathus) alabastrum
Flustrellidra hispida
Folliculina
Foraminifera
Fragilaria
Fratercula arctica
Fritillaria
Fucus distichus
Fucus gardneri
Fucus vesiculosus
Fulmarus glacialis
Fundulus diaphanus
Fundulus heteroclitus
Furcellaria
Fusitriton oregonensis
Gadiculus argenteus
Gadidae
Gadus macrocephalus
Gadus morhua
Gaidropsarus argentatus
Galathea
Galathea intermedia
Galathea strigosa
Galatheidae
Gambusia affinis
Gammarellus angulosus
Gammarellus homari
Gammaridae
Gammaridea
Gammarus
Gammarus 
Gammarus annulatus
