sourceTaxonName2,targetTaxonName2,sourceTaxon_zone,targetTaxon_zone,Paper ID,Reference DOI,sourceTaxonName,interactionTypeName,targetTaxonName,localityName,decimalLatitude,decimalLongitude,observationDateTime,Reference ISBN,Notes,source_taxon_external_id,source_taxon_path,source_specimen_life_stage,target_taxon_external_id,target_taxon_path,target_specimen_life_stage,latitude,longitude,study_citation,study_source_citation
Littorina littorea,Saccharina latissima,Intertidal,Subtidal,JB,NA,Littorina littorea,preys on,Saccharina latissima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Littorina littorea,Sphacelaria cirrosa,Intertidal,Intertidal,NA,NA,Littorina littorea,eats,Sphacelaria cirrosa,NA,NA,NA,NA,NA,NA,EOL:619396,Animalia | Mollusca | Gastropoda | Littorinimorpha | Littorinoidea | Littorinidae | Littorina | Littorina littorea,NA,EOL:916498,Chromista | Chromista | Phaeophyta | Phaeophyceae | Sphacelariales | Sphacelariaceae | Sphacelaria | Sphacelaria cirrosa,NA,NA,NA,NA,NA
Littorina littorea,Ulva lactuca,Intertidal,Intertidal,NA,NA,Littorina littorea,eats,Ulva lactuca,NA,NA,NA,NA,NA,NA,EOL:619396,Animalia | Mollusca | Gastropoda | Littorinimorpha | Littorinoidea | Littorinidae | Littorina | Littorina littorea,NA,FBC:SLB:SpecCode:122514,Ulvophyceae | Ulvales | Ulvaceae | Ulva | Ulva lactuca,NA,NA,NA,NA,NA
Littorina littorea,Ulvaria,Intertidal,Subtidal,NA,NA,Littorina littorea,eats,Ulvaria obscura,NA,NA,NA,NA,NA,NA,EOL:619396,Animalia | Mollusca | Gastropoda | Littorinimorpha | Littorinoidea | Littorinidae | Littorina | Littorina littorea,NA,GBIF:7716234,Plantae | Chlorophyta | Ulvophyceae | Ulvales | Ulvaceae | Ulvaria | Ulvaria obscura,NA,NA,NA,NA,NA
Littorina obtusata,Agarum clathratum,Intertidal,Subtidal,JB,NA,Littorina obtusata,preys on,Agarum clathratum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Littorina obtusata,Alaria esculenta,Intertidal,Subtidal,NA,NA,Littorina obtusata,eats,Alaria esculenta,NA,NA,NA,NA,NA,NA,EOL:619397,Animalia | Mollusca | Gastropoda | Littorinimorpha | Littorinoidea | Littorinidae | Littorina | Littorina obtusata,NA,WD:Q967622,| Alaria esculenta,NA,NA,NA,NA,NA
Littorina obtusata,Alaria esculenta,Intertidal,Subtidal,JB,NA,Littorina obtusata,preys on,Alaria esculenta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Littorina obtusata,Ascophyllum nodosum,Intertidal,Both,NA,NA,Littorina obtusata,eats,Ascophyllum nodosum,NA,NA,NA,NA,NA,NA,EOL:619397,Animalia | Mollusca | Gastropoda | Littorinimorpha | Littorinoidea | Littorinidae | Littorina | Littorina obtusata,NA,EOL:902587,Chromista | Chromista | Phaeophyta | Phaeophyceae | Fucales | Fucaceae | Ascophyllum | Ascophyllum nodosum,NA,NA,NA,NA,NA
Littorina obtusata,Ascophyllum nodosum,Intertidal,Both,120,NA,Littorina obtusata,preys on,Ascophyllum nodosum,"Isle of Man, Irish Sea",54.05,4.37,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Littorina obtusata,Cancer irroratus,Intertidal,Subtidal,NA,NA,Littorina obtusata,preyed upon by,Cancer irroratus,NA,NA,NA,NA,NA,NA,EOL:619397,Animalia | Mollusca | Gastropoda | Littorinimorpha | Littorinoidea | Littorinidae | Littorina | Littorina obtusata,NA,BioGoMx:Spp-59-0782,Animalia | Arthropoda | Crustacea | Malacostraca | Decapoda | Pleocyemata | Brachyura | Eubrachyura | Heterotremata | Cancroidea | Cancridae | Cancer | Cancer irroratus,NA,NA,NA,NA,NA
Littorina obtusata,Carcinus maenas,Intertidal,Both,126,10.1007/s10530-008-9305-3,Littorina obtusata,preyed upon by,Carcinus maenas,Odiorne Point NH,NA,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Littorina obtusata,Chordaria flagelliformis,Intertidal,Intertidal,NA,NA,Littorina obtusata,eats,Chordaria flagelliformis,NA,NA,NA,NA,NA,NA,EOL:619397,Animalia | Mollusca | Gastropoda | Littorinimorpha | Littorinoidea | Littorinidae | Littorina | Littorina obtusata,NA,FBC:SLB:SpecCode:113609,Phaeophyceae | Ectocarpales | Chordariaceae | Chordaria | Chordaria flagelliformis,NA,NA,NA,NA,NA
Littorina obtusata,Clathromorphum circumscriptum,Intertidal,Subtidal,NA,NA,Littorina obtusata,eats,Clathromorphum circumscriptum,NA,NA,NA,NA,NA,NA,EOL:619397,Animalia | Mollusca | Gastropoda | Littorinimorpha | Littorinoidea | Littorinidae | Littorina | Littorina obtusata,NA,GBIF:8767970,Plantae | Rhodophyta | Florideophyceae | Corallinales | Hapalidiaceae | Clathromorphum | Clathromorphum circumscriptum,NA,NA,NA,NA,NA
Littorina obtusata,Fucus,Intertidal,Intertidal,NA,NA,Littorina obtusata,eats,Fucus,NA,NA,NA,NA,NA,NA,EOL:619397,Animalia | Mollusca | Gastropoda | Littorinimorpha | Littorinoidea | Littorinidae | Littorina | Littorina obtusata,NA,EOL:9836,Chromista | Chromista | Phaeophyta | Phaeophyceae | Fucales | Fucaceae | Fucus,NA,NA,NA,NA,NA
Littorina obtusata,Fucus distichus,Intertidal,Intertidal,170,10.1080/00785326.1994.10429536,Littorina obtusata,preys on,Fucus distichus,Nova Scotia,44.46666667,-63.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Littorina obtusata,Fucus vesiculosus,Intertidal,Intertidal,NA,NA,Littorina obtusata,eats,Fucus vesiculosus,NA,NA,NA,NA,NA,NA,EOL:619397,Animalia | Mollusca | Gastropoda | Littorinimorpha | Littorinoidea | Littorinidae | Littorina | Littorina obtusata,NA,EOL:893114,Chromista | Chromista | Phaeophyta | Phaeophyceae | Fucales | Fucaceae | Fucus | Fucus vesiculosus,NA,NA,NA,NA,NA
Littorina obtusata,Hemigrapsus sanguineus,Intertidal,Intertidal,144,NA,Littorina obtusata,preyed upon by,Hemigrapsus sanguineus,"Ft. Stark, Newcastle, NH",43.05735232,-70.71161012,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Littorina obtusata,Laminaria digitata,Intertidal,Subtidal,JB,NA,Littorina obtusata,preys on,Laminaria digitata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Littorina obtusata,Nucella lapillus,Intertidal,Intertidal,NA,NA,Littorina obtusata,eaten by,Nucella lapillus,NA,NA,NA,NA,NA,NA,EOL:619397,Animalia | Mollusca | Gastropoda | Littorinimorpha | Littorinoidea | Littorinidae | Littorina | Littorina obtusata,NA,EOL:502990,Animalia | Mollusca | Gastropoda | Neogastropoda | Muricoidea | Muricidae | Nucella | Nucella lapillus,NA,NA,NA,NA,NA
Littorina obtusata,Nucella lapillus,Intertidal,Intertidal,NA,NA,Littorina obtusata,preyed upon by,Nucella lapillus,NA,NA,NA,NA,NA,NA,EOL:619397,Animalia | Mollusca | Gastropoda | Littorinimorpha | Littorinoidea | Littorinidae | Littorina | Littorina obtusata,NA,EOL:502990,Animalia | Mollusca | Gastropoda | Neogastropoda | Muricoidea | Muricidae | Nucella | Nucella lapillus,NA,NA,NA,NA,NA
Littorina obtusata,Pholis gunnellus,Intertidal,Subtidal,NA,NA,Littorina obtusata,preyed upon by,Pholis gunnellus,NA,NA,NA,NA,NA,NA,EOL:619397,Animalia | Mollusca | Gastropoda | Littorinimorpha | Littorinoidea | Littorinidae | Littorina | Littorina obtusata,NA,EOL_V2:212353,Animalia | Chordata | Actinopterygii | Perciformes | Pholidae | Pholis | Pholis gunnellus,NA,NA,NA,NA,NA
Littorina obtusata,Saccharina latissima,Intertidal,Subtidal,NA,NA,Littorina obtusata,eats,Saccharina latissima,NA,NA,NA,NA,NA,NA,EOL:619397,Animalia | Mollusca | Gastropoda | Littorinimorpha | Littorinoidea | Littorinidae | Littorina | Littorina obtusata,NA,http://taxon-concept.plazi.org/id/Chromista/Saccharina_latissima_Linnaeus_1753,Chromista | Ochrophyta | Phaeophyceae | Laminariales | Laminariaceae | Saccharina | Saccharina latissima,NA,NA,NA,NA,NA
Littorina obtusata,Saccharina latissima,Intertidal,Subtidal,JB,NA,Littorina obtusata,preys on,Saccharina latissima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Littorina obtusata,Ulvaria,Intertidal,Subtidal,NA,NA,Littorina obtusata,eats,Ulvaria obscura,NA,NA,NA,NA,NA,NA,EOL:619397,Animalia | Mollusca | Gastropoda | Littorinimorpha | Littorinoidea | Littorinidae | Littorina | Littorina obtusata,NA,GBIF:7716234,Plantae | Chlorophyta | Ulvophyceae | Ulvales | Ulvaceae | Ulvaria | Ulvaria obscura,NA,NA,NA,NA,NA
Littorina saxatilis,Acrosiphonia,Intertidal,Intertidal,NA,NA,Littorina saxatilis,eats,Acrosiphonia,NA,NA,NA,NA,NA,NA,EOL:619401,Animalia | Mollusca | Gastropoda | Littorinimorpha | Littorinoidea | Littorinidae | Littorina | Littorina saxatilis,NA,GBIF:2645300,Plantae | Chlorophyta | Ulvophyceae | Ulotrichales | Ulotrichaceae | Acrosiphonia,NA,NA,NA,NA,NA
Littorina saxatilis,Alaria esculenta,Intertidal,Subtidal,NA,NA,Littorina saxatilis,eats,Alaria esculenta,NA,NA,NA,NA,NA,NA,EOL:619401,Animalia | Mollusca | Gastropoda | Littorinimorpha | Littorinoidea | Littorinidae | Littorina | Littorina saxatilis,NA,WD:Q967622,| Alaria esculenta,NA,NA,NA,NA,NA
Littorina saxatilis,Ascophyllum nodosum,Intertidal,Both,NA,NA,Littorina saxatilis,eats,Ascophyllum nodosum,NA,NA,NA,NA,NA,NA,EOL:619401,Animalia | Mollusca | Gastropoda | Littorinimorpha | Littorinoidea | Littorinidae | Littorina | Littorina saxatilis,NA,EOL:902587,Chromista | Chromista | Phaeophyta | Phaeophyceae | Fucales | Fucaceae | Ascophyllum | Ascophyllum nodosum,NA,NA,NA,NA,NA
Littorina saxatilis,Carcinus maenas,Intertidal,Both,NA,NA,Littorina saxatilis,preyed upon by,Carcinus maenas,NA,NA,NA,NA,NA,NA,EOL:619401,Animalia | Mollusca | Gastropoda | Littorinimorpha | Littorinoidea | Littorinidae | Littorina | Littorina saxatilis,NA,EOL_V2:128502,Animalia | Arthropoda | Malacostraca | Decapoda | Portunoidea | Portunidae | Carcinus | Carcinus maenas,NA,NA,NA,NA,NA
Littorina saxatilis,Chordaria flagelliformis,Intertidal,Intertidal,NA,NA,Littorina saxatilis,eats,Chordaria flagelliformis,NA,NA,NA,NA,NA,NA,EOL:619401,Animalia | Mollusca | Gastropoda | Littorinimorpha | Littorinoidea | Littorinidae | Littorina | Littorina saxatilis,NA,FBC:SLB:SpecCode:113609,Phaeophyceae | Ectocarpales | Chordariaceae | Chordaria | Chordaria flagelliformis,NA,NA,NA,NA,NA
