sourceTaxonName2,targetTaxonName2,sourceTaxon_zone,targetTaxon_zone,interactionTypeName,Paper ID,Reference DOI,sourceTaxonName,targetTaxonName,localityName,decimalLatitude,decimalLongitude,observationDateTime,Reference ISBN,Notes,source_taxon_external_id,source_taxon_path,source_specimen_life_stage,target_taxon_external_id,target_taxon_path,target_specimen_life_stage,latitude,longitude,study_citation,study_source_citation
Asterias rubens,Electra pilosa,Subtidal,Intertidal,preys on,NA,NA,Asterias rubens,Electra pilosa,NA,NA,NA,NA,NA,NA,EOL:598481,Animalia | Echinodermata | Asteroidea | Forcipulatida | Asteriidae | Asterias | Asterias rubens,NA,EOL:599446,Animalia | Bryozoa | Gymnolaemata | Cheilostomatida | Membraniporoidea | Electridae | Electra | Electra pilosa,NA,NA,NA,NA,NA
Asterias rubens,Hiatella arctica,Subtidal,Intertidal,preys on,189,NA,Hiatella arctica,Asterias rubens,"Mingan Islands, Gulf of St. Lawrence",NA,NA,1996-1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asterias rubens,Mytilus edulis,Subtidal,Both,preys on,2,10.1007/s00227-006-0562-3,Asterias rubens,Mytilus edulis,"Splintnose Point, Nova Scotia",44.63583333,-63.73916667,8/5/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asterias rubens,Nucella lapillus,Subtidal,Intertidal,preys on,NA,NA,Asterias rubens,Nucella lapillus,NA,NA,NA,NA,NA,NA,FBC:SLB:SpecCode:48661,Asteroidea | Forcipulatida | Asteriidae | Asterias | Asterias rubens,NA,FBC:SLB:SpecCode:5100,Gastropoda | Neogastropoda | Muricidae | Nucella | Nucella lapillus,NA,NA,NA,NA,NA
Asterias rubens,Obelia,Subtidal,Subtidal,preys on,NA,NA,Asterias rubens,Obelia longissima,NA,NA,NA,NA,NA,NA,EOL:598481,Animalia | Echinodermata | Asteroidea | Forcipulatida | Asteriidae | Asterias | Asterias rubens,NA,ITIS:49515,Animalia | Radiata | Cnidaria | Medusozoa | Hydrozoa | Hydroidolina | Leptothecatae | Campanulariidae | Obelia | Obelia longissima,NA,NA,NA,NA,NA
Asterias rubens,Ophiopholis aculeata,Subtidal,Subtidal,eats,NA,NA,Asterias rubens,Ophiopholis aculeata,NA,NA,NA,NA,NA,NA,EOL:598481,Animalia | Echinodermata | Asteroidea | Forcipulatida | Asteriidae | Asterias | Asterias rubens,NA,FBC:SLB:SpecCode:49064,Ophiuroidea | Ophiurida | Ophiactidae | Ophiopholis | Ophiopholis aculeata,NA,NA,NA,NA,NA
Asterias rubens,Ophiopholis aculeata,Subtidal,Subtidal,preys on,2396,https://www.proquest.com/docview/302778412/9AE1C58E2CEA428EPQ/22?accountid=28936,Asterias rubens,Ophiopholis aculeata,"Logy Bay, Newfoundland, Canada",47.65403916,-52.69646251,May to August 1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asterias rubens,Ostrea edulis,Subtidal,Both,preys on,884,NA,Ostrea edulis,Asterias rubens,Galway Bay,53.188365,-8.96199,1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asterias rubens,Semibalanus balanoides,Subtidal,Intertidal,preys on,NA,NA,Asterias rubens,Semibalanus balanoides,NA,NA,NA,NA,NA,NA,EOL:598481,Animalia | Echinodermata | Asteroidea | Forcipulatida | Asteriidae | Asterias | Asterias rubens,NA,FBC:SLB:SpecCode:32301,Maxillopoda | Sessilia | Archaeobalanidae | Semibalanus | Semibalanus balanoides,NA,NA,NA,NA,NA
Asterias rubens,Strongylocentrotus droebachiensis,Subtidal,Both,eats,NA,NA,Asterias rubens,Strongylocentrotus droebachiensis,NA,NA,NA,NA,NA,NA,FBC:SLB:SpecCode:48661,Asteroidea | Forcipulatida | Asteriidae | Asterias | Asterias rubens,NA,FBC:SLB:SpecCode:50007,Echinoidea | Echinoida | Strongylocentrotidae | Strongylocentrotus | Strongylocentrotus droebachiensis,NA,NA,NA,NA,NA
